NAME,TEAM,FGM,FGA,FG%,3PM,3PA,3P%,POINTS,REBOUNDS,ASSISTS,STEALS,BLOCKS
Lynn Greer III,DevelopNow,0,0,0.00%,0,0,0.00%,0.0,0.0,0.0,0.0,0.0
Lance Ware,DevelopNow,0,0,0.00%,0,0,0.00%,0.0,0.0,0.0,0.0,0.0
Aaron Estrada,DevelopNow,0,0,0.00%,0,0,0.00%,0.0,0.0,0.0,0.0,0.0
#2 Tyeshon Martin,DevelopNow,0,1,0.00%,0,1,0.00%,0.0,0.5,0.0,0.0,0.0
#15 Myles Thompson,DevelopNow,4,9,44.44%,0,3,0.00%,5.5,2.0,1.0,0.5,0.0
#21 Jazere Noel,DevelopNow,15,26,57.69%,2,9,22.22%,17.5,5.5,2.0,0.5,0.0
#23 Christian Lyons,DevelopNow,4,7,57.14%,0,1,0.00%,5.5,0.5,0.0,0.5,0.0
#3 Jaleel Mack,DevelopNow,6,11,54.55%,1,3,33.33%,7.0,1.5,1.0,1.0,0.0
#4 Tyshon Judge,DevelopNow,1,5,20.00%,0,3,0.00%,1.0,1.5,0.0,0.0,0.0
#5 Mir Williams,DevelopNow,17,37,45.95%,11,20,55.00%,23.5,4.0,2.5,0.5,0.0
#12 Deaquan Williams,DevelopNow,0,2,0.00%,0,0,0.00%,0.0,2.0,0.0,0.0,0.5
#24,DevelopNow,7,12,58.33%,0,0,0.00%,7.0,3.5,0.0,0.0,0.0
DN P13,DevelopNow,0,0,0.00%,0,0,0.00%,0.0,0.0,0.0,0.0,0.0
DN P14,DevelopNow,0,0,0.00%,0,0,0.00%,0.0,0.0,0.0,0.0,0.0
DN P15,DevelopNow,0,0,0.00%,0,0,0.00%,0.0,0.0,0.0,0.0,0.0
DN P16,DevelopNow,0,0,0.00%,0,0,0.00%,0.0,0.0,0.0,0.0,0.0
DN P17,DevelopNow,0,0,0.00%,0,0,0.00%,0.0,0.0,0.0,0.0,0.0
DN P18,DevelopNow,0,0,0.00%,0,0,0.00%,0.0,0.0,0.0,0.0,0.0
DN P19,DevelopNow,0,0,0.00%,0,0,0.00%,0.0,0.0,0.0,0.0,0.0
DN P20,DevelopNow,0,0,0.00%,0,0,0.00%,0.0,0.0,0.0,0.0,0.0
#4 Stanley Davis,Coach Tone Runs,12,27,44.44%,4,13,30.77%,13.0,3.7,1.3,0.3,0.3
#12 Conner Dickerson,Coach Tone Runs,7,13,53.85%,0,4,0.00%,5.0,2.0,0.3,0.7,0.0
#21 Justin Mutts,Coach Tone Runs,1,3,33.33%,0,0,0.00%,0.7,1.3,0.0,0.3,0.7
#15 Richard Granberry,Coach Tone Runs,9,15,60.00%,0,1,0.00%,7.0,3.3,0.0,0.3,0.0
#10 Shane Stone,Coach Tone Runs,2,4,50.00%,0,2,0.00%,1.3,1.3,0.3,0.0,0.0
#14 Rahlir Hollis Jefferson,Coach Tone Runs,4,6,66.67%,2,4,50.00%,4.3,1.3,0.0,0.0,0.0
#25 Austin Tillman,Coach Tone Runs,6,11,54.55%,4,8,50.00%,6.7,1.3,0.0,0.0,0.0
#2 Jerry Price,Coach Tone Runs,3,10,30.00%,1,4,25.00%,5.3,0.3,0.0,0.0,0.0
#24 Rondae Hollis-Jefferson,Coach Tone Runs,4,10,40.00%,0,2,0.00%,2.7,2.3,1.0,0.0,0.0
#3 Davion Scarborough,Coach Tone Runs,9,19,47.37%,2,7,28.57%,6.7,2.3,2.3,1.0,0.3
#5 Tony Gallo,Coach Tone Runs,0,0,0.00%,0,0,0.00%,0.0,0.0,0.0,0.0,0.0
#11 Abdula Diallo,Coach Tone Runs,0,0,0.00%,0,0,0.00%,0.0,0.0,0.0,0.0,0.0
#23 Marcus Randolph,Coach Tone Runs,8,11,72.73%,3,5,60.00%,7.3,0.7,0.3,0.0,0.0
#21 Pierre Forte,Coach Tone Runs,2,3,66.67%,0,0,0.00%,1.3,0.0,0.7,0.0,0.0
#20 Jamir Carr,Coach Tone Runs,5,6,83.33%,3,4,75.00%,4.3,1.3,0.0,0.0,0.0
MWG P16,Coach Tone Runs,0,0,0.00%,0,0,0.00%,0.0,0.0,0.0,0.0,0.0
MWG P17,Coach Tone Runs,0,0,0.00%,0,0,0.00%,0.0,0.0,0.0,0.0,0.0
MWG P18,Coach Tone Runs,0,0,0.00%,0,0,0.00%,0.0,0.0,0.0,0.0,0.0
MWG P19,Coach Tone Runs,0,0,0.00%,0,0,0.00%,0.0,0.0,0.0,0.0,0.0
MWG P20,Coach Tone Runs,0,0,0.00%,0,0,0.00%,0.0,0.0,0.0,0.0,0.0
#15 Justin Jaworski,TBB,26,59,44.07%,14,32,43.75%,20.5,3.5,1.8,1.0,0.0
